Embedding Model,Num Classes,Samples,Accuracy,F1 Score Macro,Precision Macro,Recall Macro,Latency per image (ms),Outlier Rate
convnextv2_base,91,3674,0.6159499183451279,0.5461144022837998,0.57249950242341,0.553805823513982,675.2502654891924,0.07403375068045727
dinov2_small,5,215,0.9347621196035476,0.9121012612257416,0.9212465974821912,0.906167706903978,160.0541914010586,0.118135671308256
dinov2_small,10,377,0.9522728667656896,0.923665866670208,0.9315432021537144,0.931852397651241,160.05439228045702,0.13145899465194427
dinov2_small,20,812,0.8946652944471885,0.8525216730895924,0.8610321686173863,0.8552636378889389,160.04922177004138,0.13035012529185674
dinov2_small,30,1180,0.8868011412578378,0.850315892634965,0.8647865765070287,0.8593466504832452,160.0486075562315,0.10426203732290769
dinov2_small,50,1988,0.831777782907863,0.7933922047066482,0.811308708698243,0.7979473377366961,160.0486873962564,0.10957351945466065
dinov2_small,70,2837,0.809534224369495,0.7640005792484732,0.7803451160089949,0.7753168126203753,160.04935490467022,0.09544945863528434
dinov2_small,91,3674,0.7749047359825803,0.7229642340057368,0.7371669137340257,0.7348174283429125,160.04919152163632,0.08954817637452368
dinov2_base,5,212,0.9711636417693994,0.9554502279436902,0.9561063715257264,0.9590625351582259,596.0671146150117,0.10670250431296013
dinov2_base,10,407,0.964821200327257,0.952283250546583,0.9557739862218563,0.9514402931117948,596.0638429843362,0.1130719762314422
dinov2_base,20,792,0.9267260571797132,0.904560538426637,0.9176168736573229,0.9050935786894743,596.0623756641908,0.10620931206457587
dinov2_base,30,1188,0.9206106448539269,0.900616973735986,0.9117979852106902,0.9032649564188502,596.0630061867662,0.10236078520890186
dinov2_base,50,2000,0.8690353627306818,0.8193993820674178,0.8275785994337983,0.8215933847902033,596.0613986947878,0.09084743900306023
dinov2_base,70,2816,0.8359308156083045,0.7786864218977729,0.7938070736056888,0.7825477311858343,596.0627135292536,0.08921136344500513
dinov2_base,91,3674,0.8244420250408273,0.7654117584673361,0.7814563232834917,0.7731405856670256,596.065277407524,0.08383233532934131
dinov2_small_gap,5,170,0.8197513428005122,0.7402511346241292,0.7629285547893782,0.750766341771933,163.8735855024763,0.1420032094474115
dinov2_small_gap,10,365,0.7737037279800574,0.7088050565598835,0.7174281722249777,0.7241576733058259,163.8654858498736,0.09839617237184597
dinov2_small_gap,20,758,0.6682943318886725,0.6190539637094442,0.636316938130923,0.629357656650239,163.86334019336633,0.08648154174430145
dinov2_small_gap,30,1238,0.5577027610063798,0.5201512188857743,0.5422863397054328,0.5288641248730196,163.86404312831792,0.0831007195627723
dinov2_small_gap,50,1969,0.4607987588163053,0.41785259282384457,0.4382917966477238,0.428415621879326,163.86351054046037,0.07323803586978138
dinov2_small_gap,70,2835,0.43679457835520896,0.3986709113580634,0.42708668529643745,0.4137910786755138,163.86396456263924,0.06823036375989641
dinov2_small_gap,91,3674,0.3908546543277082,0.35305893670433064,0.379917049231237,0.3677696821702997,163.8638612366039,0.06341861731083288
dinov2_base_gap,5,215,0.8385694482851482,0.7859561166773996,0.7928036035612296,0.7884571996633312,637.0853474923604,0.11847528657263424
dinov2_base_gap,10,417,0.7158147601867194,0.6940249670500374,0.7144467866453948,0.6935867318826419,637.0804981680456,0.11157137579779804
dinov2_base_gap,20,801,0.6250724476619506,0.5511502619298917,0.5760820156673224,0.5565540494357927,637.0789483512407,0.08987100242767196
dinov2_base_gap,30,1214,0.5849478893042751,0.5417898676813422,0.567699270512249,0.5556990986065127,637.0783613543721,0.08492072836521249
dinov2_base_gap,50,2035,0.4867216103655019,0.4529579845016121,0.49235160161934377,0.45673076198114543,637.0774622910027,0.06920066448934768
dinov2_base_gap,70,2804,0.45116729060848726,0.41387370120756073,0.4450714507522712,0.4200559414341547,637.0779051359356,0.06526761415943996
dinov2_base_gap,91,3674,0.40310288513881326,0.3664515801558187,0.4061566338582763,0.3747048405782837,637.0792116595381,0.05824714207947741
dinov3_small,5,219,0.9156482512573515,0.9071348714861218,0.9239659761279784,0.9024646283777085,143.49389043044258,0.14595467472397167
dinov3_small,10,383,0.8708220316272562,0.8537389248783877,0.8700891082704356,0.8495884113375259,143.4882048559146,0.13462278817345763
dinov3_small,20,754,0.8142277445081341,0.7465615327197368,0.7843350713261417,0.73843249585099,143.48502270448034,0.1092626090966341
dinov3_small,30,1169,0.801047157448042,0.7460760973063543,0.7750891223822295,0.7413057135286768,143.48559048154402,0.1005550789758517
dinov3_small,50,2054,0.7058323399192401,0.674603991171903,0.7000848582224408,0.6739268360890286,143.48597826794486,0.08189183812067012
dinov3_small,70,2799,0.6842235509140601,0.6488011303119776,0.6812898253764399,0.6415155920147567,143.48599656387782,0.06641074449324116
dinov3_small,91,3674,0.6543277082199238,0.6243032846766943,0.658401766547735,0.6155334181979293,143.48604611536842,0.06287425149700598
dinov3_base,5,188,0.9310665952530297,0.8768714328622569,0.8726401223830301,0.8891470130854149,493.7749690901881,0.11698323512270632
dinov3_base,10,379,0.9276963046026092,0.90427955345057,0.9348195340966591,0.8996607204789919,493.76872232211434,0.14244804885614798
dinov3_base,20,762,0.9153950411121796,0.8884232705503807,0.89413416884055,0.8985915967062879,493.76853998752415,0.1000081540238315
dinov3_base,30,1190,0.8981535959580222,0.866235300984615,0.8771453867552603,0.8656153077530027,493.7671886816244,0.09976378693062773
dinov3_base,50,1964,0.847073349792588,0.800406536932363,0.819183399677135,0.7978448421936402,493.7663753270902,0.10300555438893666
dinov3_base,70,2804,0.8194402086860967,0.7647924580994173,0.7812960642477421,0.7641570767786078,493.76694405979123,0.09022317016798194
dinov3_base,91,3674,0.789330430048993,0.7326868261167869,0.748933166665757,0.7329731354284265,493.7679525093549,0.08682634730538923
dinov3_small_gap,5,191,0.7728354200206149,0.7384332017081969,0.7439687869167486,0.7930976450069254,141.66911536636178,0.09468157509500985
dinov3_small_gap,10,374,0.6359091679513548,0.5853343569091762,0.5898165626370393,0.6022248194023716,141.66428766829785,0.07933642803150623
dinov3_small_gap,20,783,0.5702442836123558,0.5220782994360706,0.539858247641942,0.5626766396060078,141.66149244078505,0.05613704755313716
dinov3_small_gap,30,1219,0.4629264068652937,0.4067718647974424,0.42558839369660406,0.4141145576464093,141.66296870995922,0.04957583740328727
dinov3_small_gap,50,2006,0.36164714409620324,0.3240064683794521,0.3437768053333078,0.34593016930570647,141.66172849210767,0.036397924396608786
